forecast_date,realization_date,forecast,realized,respondents,forecast_mean,forecast_error
2020-03-02,2021-03-31,3.41,0.93,43.0,3.45,-2.48
2020-03-03,2021-03-31,3.39,0.93,37.0,3.43,-2.46
2020-03-04,2021-03-31,3.39,0.93,39.0,3.4,-2.46
2020-03-05,2021-03-31,3.39,0.93,38.0,3.38,-2.46
2020-03-06,2021-03-31,3.43,0.93,39.0,3.4,-2.5
2020-03-09,2021-03-31,3.43,0.93,41.0,3.35,-2.5
2020-03-10,2021-03-31,3.42,0.93,44.0,3.35,-2.4899999999999998
2020-03-11,2021-03-31,3.66,0.93,44.0,3.57,-2.73
2020-03-12,2021-03-31,3.62,0.93,47.0,3.56,-2.69
2020-03-13,2021-03-31,3.45,0.93,59.0,3.45,-2.52
2020-03-16,2021-03-31,3.43,0.93,59.0,3.43,-2.5
2020-03-17,2021-03-31,3.43,0.93,61.0,3.43,-2.5
2020-03-18,2021-03-31,3.38,0.93,57.0,3.39,-2.4499999999999997
2020-03-19,2021-03-31,3.31,0.93,55.0,3.37,-2.38
2020-03-20,2021-03-31,3.2,0.93,29.0,3.19,-2.27
2020-03-23,2021-03-31,3.15,0.93,30.0,3.15,-2.2199999999999998
2020-03-24,2021-03-31,3.18,0.93,30.0,3.12,-2.25
2020-03-25,2021-03-31,3.09,0.93,30.0,3.08,-2.1599999999999997
2020-03-26,2021-03-31,3.01,0.93,32.0,3.03,-2.0799999999999996
2020-03-27,2021-03-31,2.98,0.93,38.0,2.92,-2.05
2020-03-30,2021-03-31,2.97,0.93,40.0,2.9,-2.04
2020-03-31,2021-03-31,2.91,0.93,41.0,2.91,-1.98
2020-04-01,2021-04-30,2.96,0.31,40.0,2.92,-2.65
2020-04-02,2021-04-30,2.98,0.31,39.0,2.99,-2.67
2020-04-03,2021-04-30,2.76,0.31,35.0,2.88,-2.4499999999999997
2020-04-06,2021-04-30,2.76,0.31,32.0,2.86,-2.4499999999999997
2020-04-07,2021-04-30,2.81,0.31,34.0,2.91,-2.5
2020-04-08,2021-04-30,2.76,0.31,37.0,2.83,-2.4499999999999997
2020-04-09,2021-04-30,2.86,0.31,40.0,2.94,-2.55
2020-04-13,2021-04-30,3.12,0.31,36.0,2.97,-2.81
2020-04-14,2021-04-30,2.88,0.31,34.0,2.9,-2.57
2020-04-15,2021-04-30,2.78,0.31,37.0,2.84,-2.4699999999999998
2020-04-16,2021-04-30,2.75,0.31,41.0,2.79,-2.44
2020-04-17,2021-04-30,2.67,0.31,55.0,2.66,-2.36
2020-04-20,2021-04-30,2.6,0.31,53.0,2.61,-2.29
2020-04-22,2021-04-30,2.5,0.31,47.0,2.57,-2.19
2020-04-23,2021-04-30,2.52,0.31,51.0,2.62,-2.21
2020-04-24,2021-04-30,2.52,0.31,51.0,2.64,-2.21
2020-04-27,2021-04-30,2.61,0.31,29.0,2.64,-2.3
2020-04-28,2021-04-30,2.55,0.31,30.0,2.6,-2.2399999999999998
2020-04-29,2021-04-30,2.49,0.31,34.0,2.53,-2.18
2020-04-30,2021-04-30,2.35,0.31,57.0,2.41,-2.04
2020-05-04,2021-05-31,2.34,0.83,53.0,2.38,-1.5099999999999998
2020-05-05,2021-05-31,2.34,0.83,53.0,2.38,-1.5099999999999998
2020-05-06,2021-05-31,2.32,0.83,49.0,2.32,-1.4899999999999998
2020-05-07,2021-05-31,2.29,0.83,51.0,2.3,-1.46
2020-05-08,2021-05-31,2.72,0.83,31.0,2.76,-1.8900000000000001
2020-05-11,2021-05-31,2.73,0.83,34.0,2.76,-1.9
2020-05-12,2021-05-31,2.72,0.83,33.0,2.76,-1.8900000000000001
2020-05-13,2021-05-31,2.72,0.83,35.0,2.75,-1.8900000000000001
2020-05-14,2021-05-31,2.78,0.83,35.0,2.75,-1.9499999999999997
2020-05-15,2021-05-31,2.73,0.83,39.0,2.73,-1.9
2020-05-18,2021-05-31,2.72,0.83,36.0,2.74,-1.8900000000000001
2020-05-19,2021-05-31,2.72,0.83,36.0,2.74,-1.8900000000000001
2020-05-20,2021-05-31,2.79,0.83,33.0,2.78,-1.96
2020-05-21,2021-05-31,2.76,0.83,34.0,2.76,-1.9299999999999997
2020-05-22,2021-05-31,2.73,0.83,37.0,2.69,-1.9
2020-05-25,2021-05-31,2.8,0.83,37.0,2.74,-1.9699999999999998
2020-05-26,2021-05-31,2.76,0.83,40.0,2.69,-1.9299999999999997
2020-05-27,2021-05-31,2.66,0.83,43.0,2.65,-1.83
2020-05-28,2021-05-31,2.66,0.83,43.0,2.66,-1.83
2020-05-29,2021-05-31,2.75,0.83,29.0,2.76,-1.92
2020-06-01,2021-06-30,2.62,0.53,30.0,2.63,-2.09
2020-06-02,2021-06-30,2.55,0.53,32.0,2.58,-2.0199999999999996
2020-06-03,2021-06-30,2.52,0.53,31.0,2.56,-1.99
2020-06-04,2021-06-30,2.52,0.53,29.0,2.57,-1.99
2020-06-05,2021-06-30,2.41,0.53,34.0,2.51,-1.8800000000000001
2020-06-08,2021-06-30,2.45,0.53,32.0,2.51,-1.9200000000000002
2020-06-09,2021-06-30,2.46,0.53,37.0,2.53,-1.93
2020-06-10,2021-06-30,3.11,0.53,38.0,3.18,-2.58
